4415339,21.584883,101341.3281,-0.392196,102.0625,-84.1875,3.3125,-9.74,-0.62,0.78,413,3.472,5.189,7.472,40.44431919,-79.95323896
4415370,21.576044,101331.4219,-0.856778,102.0625,-84.1875,3.3125,-9.74,-0.6,0.74,429,3.129,4.983,7.347,40.44431865,-79.95324122
4415404,21.576044,101331.4219,-1.359549,102.0625,-84.1875,3.3125,-9.77,-0.49,0.67,317,3.492,4.867,7.533,40.4443181,-79.95324347
4415436,21.576044,101339.1719,-1.359549,102.0625,-84.1875,3.3125,-9.77,-0.55,0.69,379,3.447,4.834,7.519,40.44431756,-79.95324573
4415467,21.576044,101339.1719,-0.534992,102.0625,-84.1875,3.3125,-9.76,-0.48,0.7,350,3.409,4.895,7.24,40.44431702,-79.95324798
4415498,21.584883,101333.5781,-0.713987,102.0625,-84.1875,3.3125,-9.77,-0.52,0.76,298,3.297,4.902,7.561,40.44431648,-79.95325023
4415534,21.580463,101340.25,-1.359549,102.0625,-84.1875,3.3125,-9.77,-0.57,0.84,413,3.429,5.114,7.576,40.44431594,-79.95325249
4415566,21.576044,101339.1719,-0.445493,102.0625,-84.1875,3.3125,-9.73,-0.56,0.86,391,3.314,4.8,7.671,40.4443154,-79.95325474
4415598,21.571625,101334.2188,-1.036773,102.0625,-84.1875,3.3125,-9.75,-0.58,0.89,405,3.252,4.835,7.289,40.44431486,-79.95325699
4415628,21.580463,101340.25,-1.17956,102.0625,-84.1875,3.3125,-9.74,-0.53,0.82,401,3.369,4.945,7.708,40.44431431,-79.95325925
4415664,21.576044,101339.1719,-0.947279,102.0625,-84.1875,3.3125,-9.78,-0.52,0.88,437,3.404,4.896,7.032,40.44431377,-79.9532615
4415701,21.580463,101340.25,-0.62449,102.0625,-84.1875,3.3125,-9.74,-0.55,0.81,460,3.277,4.956,7.538,40.44431323,-79.95326376
4415737,21.584883,101337.4531,-1.359549,102.0625,-84.1875,3.3125,-9.73,-0.54,0.93,403,3.452,5.109,7.166,40.44431269,-79.95326601
4415768,21.589302,101334.6563,-1.270058,102.0625,-84.1875,3.3125,-9.73,-0.59,0.84,372,3.378,5.134,7.727,40.44431215,-79.95326826
4415799,21.584883,101341.3281,-1.359549,102.0625,-84.1875,3.3125,-9.75,-0.54,0.82,376,3.237,5.115,7.65,40.44431161,-79.95327052
4415829,21.584883,101337.4531,-1.359549,102.0625,-84.1875,3.3125,-9.77,-0.53,0.67,463,3.34,5.061,7.347,40.44431106,-79.95327277
4415865,21.584883,101333.5781,-0.947279,102.0625,-84.1875,3.3125,-9.77,-0.53,0.73,475,3.227,5.182,7.333,40.44431052,-79.95327502
4415897,21.584883,101337.4531,-0.947279,102.0625,-84.1875,3.3125,-9.76,-0.48,0.62,456,3.436,5.194,7.599,40.44430998,-79.95327728
4415928,21.584883,101349.0703,-1.036773,102.0625,-84.1875,3.3125,-9.74,-0.61,0.77,356,3.355,5.013,7.565,40.44430944,-79.95327953
4415965,21.576044,101331.4219,-1.036773,102.0625,-84.1875,3.3125,-9.75,-0.58,0.73,391,3.156,4.878,7.346,40.4443089,-79.95328179
4415996,21.589302,101334.6563,-1.53853,102.0625,-84.1875,3.3125,-9.74,-0.59,0.84,419,3.239,5.018,7.753,40.44430836,-79.95328404
4416028,21.584883,101333.5781,-1.270058,102.0625,-84.1875,3.3125,-9.74,-0.65,0.8,353,3.23,4.813,7.45,40.44430782,-79.95328629
4416059,21.584883,101341.3281,-0.534992,102.0625,-84.1875,3.3125,-9.77,-0.58,0.88,359,3.323,5.11,7.141,40.44430727,-79.95328855
4416096,21.580463,101340.25,-1.036773,102.0625,-84.1875,3.3125,-9.75,-0.56,0.85,381,3.172,5.182,7.662,40.44430673,-79.9532908
4416128,21.584883,101341.3281,-0.713987,102.0625,-84.1875,3.3125,-9.74,-0.6,0.88,367,3.202,4.927,7.587,40.44430619,-79.95329305
4416160,21.580463,101340.25,-2.004067,102.0625,-84.1875,3.3125,-9.73,-0.54,0.87,436,3.203,5.076,7.488,40.44430565,-79.95329531
4416196,21.580463,101340.25,-1.359549,102.0625,-84.1875,3.3125,-9.74,-0.53,0.84,431,3.355,4.817,7.206,40.44430511,-79.95329756
4416229,21.580463,101336.375,-1.270058,102.0625,-84.1875,3.3125,-9.77,-0.52,0.82,422,3.334,4.877,7.195,40.44430457,-79.95329982
4416260,21.584883,101337.4531,-1.359549,102.0625,-84.1875,3.3125,-9.74,-0.46,0.77,424,3.496,5,7.471,40.44430403,-79.95330207
4416297,21.584883,101333.5781,-0.713987,102.0625,-84.1875,3.3125,-9.75,-0.49,0.72,412,3.24,5.09,7.456,40.44430348,-79.95330432
4416329,21.580463,101340.25,-1.270058,102.0625,-84.1875,3.3125,-9.77,-0.46,0.72,416,3.229,4.802,7.488,40.44430294,-79.95330658
4416360,21.584883,101341.3281,-2.004067,102.0625,-84.1875,3.3125,-9.75,-0.52,0.74,363,3.285,4.82,7.017,40.4443024,-79.95330883
4416397,21.593721,101343.4766,-0.893984,102.0625,-84.1875,3.3125,-9.76,-0.55,0.77,407,3.118,4.959,7.327,40.44430186,-79.95331108
4416430,21.584883,101333.5781,-0.248392,102.0625,-84.1875,3.3125,-9.75,-0.55,0.77,374,3.147,5.154,7.612,40.44430132,-79.95331334
4416461,21.593721,101331.8594,-1.53853,102.0625,-84.1875,3.3125,-9.72,-0.58,0.79,282,3.45,4.859,7.214,40.44430078,-79.95331559
4416497,21.584883,101341.3281,-0.713987,102.0625,-84.1875,3.3125,-9.75,-0.57,0.86,375,3.306,4.826,7.438,40.44430023,-79.95331785
